　どこで	生れたか
寒月君は	いそがない
「コップへ	頂戴しましょう」と
本式に	やるのか
寒月君は	始める
「罪人を	絞
太人中に	在っては
旧約全書を	研究して
説に従って	見ますと
エジプト人は	したそうで御座います
縁が	遠くなるようだが
本論に	這入る
これも	用いたようでございます
うちに	致した
御迷惑で	あらっしゃいましょうから……」
本題に	入りまして
演舌家は	貰いたいね」と
下品なら	云ったらいいでしょう」と
「迷亭のは	聴いているのか、
弥次馬に	構わず、
かね」と	云う
寒月は	吹き出す
処刑として	用いましたのは、
テレマカスが	絞殺するという
希臘語で	朗読しても
四百六十五行から、	なると
両人は	読めないのである
両三句は	弁じ——
絞殺を	想像して
第一は、	括りつけます
所々へ	開けて
縄から	下げて、
——	入れます」
女が	釣られると
首を	繋いでいる
α１α２……	します
体重と	御承知下さい
御分りに	なりましたか」
主人は	云う
大抵と	云う
平均性理論に	よりますと、
沢山だろう」と	云う
首脳なんですが」と	見える
「それじゃ	しようじゃないか」と
式を	略してしまうと
無理ですが	略しましょう」
英国へ	移って
説に	よると
どっちが	知りませんが、
フ※ツ・ゼラルドと	云う
はずみで	切れてしまったのです
今度は	着いたので
三返目に	手伝って
死に損いだな」と	浮かれ出す
事が	あります
これは	見たのだから
「それは	います
脊髄が	延びるから
続きは、	いたが、
雄弁を	振ったか
二三日は	過ぎたが、
座に	着くと、
近頃は	合わんから」と
「きょうは	来たんだよ」
それだけは	関係するからな」
日曜に	行ったんだそうだ
寒いのに	よせばいいのに——
君が	留める
寺内に	云う
君	知ってるか」
泉岳寺へ	行った
道理で	弁護すると
江戸っ子が	知らないのは
展覧場へ	這入って
それが	質問したそうだ
独逸語が	見たくて
三口	やって
出来たんだ——	考えると
「独逸人が	見て、
日本人は	云ったんだとさ
方では	聞くそうだ」
ないんだが、	得ないのさ
事を	聞かれる
先生	翻訳して善いのか
「ところへ	集ってくる
仕舞には	見物する
東風は	へどもどする
勢に	引き
それを	来る
ベルが	飛び上る
主人は	沈黙する
うちへ	見ていると、
上を	超した
生え際から	聳えて、
眼が	対立する
鼻を	盗んで来て
小庭へ	移した
鍵鼻で、	見たが、
かく著る	しい
吾輩は	呼ぶつもりである
鼻子は	わす
主人は	ふかす
迷亭は	す
雨の	洩りさ」と
鼻子は	憤る
事が	あって、
主人が	受ける
これでは	ならぬと
宿が	出まして、
主人は	動じない
言葉遣いが	存在過ぎるので
無いんです、	兼ねているんです
御存知でしょうが」	恐れ入らぬかと
大学教授とか	いうと
実業家よりも	信じている
おらんでも、	めている
自分が	なる
それだから	知らん
念は	起らんのである
方では	知らない
今まで	見たが、
「金田って	知ってるか」と
この間	なった」と
何か	云おうとして
迷亭は	すましている
あなたが	いらっしゃいますか、
牧山様には	致しております」と
主人は	見ている
事に	つきましても
方々から	くれくれと
「それについて、	上がったんですがね」と
所へ	上がるそうですが、
関係で、	なりたいという
「それが	伺えれば
「ほかにも	有るんですから、
鼻子も	なる
迷亭は	怒鳴っている
方で	貰いたいとでも
云ったんじゃないんですけれども……」	思っていらっしゃるんですか」と
土俵際で	持ち直す
「寒月が	恋着したというような
見当でしょうね」	奏しない
今まで	見物していた
「寒月が	したんですか、
御承知じゃありませんか」と	からまって来る
「君	知ってるか」と
調子で	つまらん
御両人は	感じ入る
「御忘れに	なったら
御屋敷で	あって
鼻が	放って、
　主人は	吶喊してくる
両人は	笑い崩れる
鼻子ばかりは	睨みつける
御嬢さんですか、	おっしゃる通りだ、
種は	上ってるんですからね」と
何でも	陳述するさ、
どこからか	露見するからな
——しかし	驚ろきますな」と
方だって、	ありませんやね」と
誰に	なったんです」
事じゃ、	使いましたよ
寒月さんが、	するかと
「なあに、	構ってるんじゃないんです
気に	食わん
そとへ	来て
師匠からも	聞いています」
主人は	恐れ入るかと
御門違いです」と	あらわして来る
喧嘩を	しに
鉄枴仙人が	して
交換では	やむを得ざるに至らしめられていたが、
時の	話しじゃ
寒月は	云っていましたぜ」
ただじゃ	出来ませんやね、
「いいや君、	話したって
　鼻子は	呈出する
一時	荒立てた
理学士だそうですが、	しているのでございます」
ものだから	している
「それを	勉強すると
「博士に	ならなければ
学士じゃね、	ありますからね」と
主人は	する
「博士に	なるか
地球の——	勉強しているんでございましょうか」
何か	やって
事に	云う
事を	尋ねては
ほかに	勉強しておりますまいか」
鼻子は	転ずる
「御話は	違いますが——
人じゃございませんか、	使わないんでしょう」
「椎茸で	かけるくらいじゃ、
ぎり、	填めない
今だに	なってるなあ
鼻子はまた	改める
「何か	書いた
二三枚だけ……」	やろう」と
絵も	かくんでございますか、
何だって	かくんでしょうね——
文句を	読んで
鼻子は	読み出す
夜、	舞踏します
歌に	来いさ、と
スッポコポンノポン」	馬鹿にしているじゃございませんか」と
天女は	御気に入りませんか」と
天女が	着て
鼻が	小さ過ぎるようですが」
「昔し	ありました
台に	登って、
朝	見ると
噺だと、	申しました」
文芸倶楽部でも	読んだらよさそうな
迷亭は	出す
今度は	書き散らしてある
千鳥、	さよの寝覚の
如何です」と	無暗に出す
これだけ	拝見すれば、
鼻子は	致しました
私の	参った
事は	聞かなければならないが、
主人も	すると
見送りに	出た
部屋で	怺え切れなかったと
迷亭は	来ましたぜ
月並も	なると
さあ遠慮は	いらんから、
　主人は	付ける
鼻は、	奇抜過ぎる」と
「夫を	剋する
「十九世紀で	売れ残って、
ところへ	出て来て、
奥さん」	苛いわ」と
迷亭君」	大分引き掻かれたじゃないか」
人物に	尊敬されるには
駄目ですよ」と	見離される
「これでも	知れん、
貴様なぞは	知るまいが
ソフォクリスが	出して
シモニジスは	作った
胃病で	生きられる
——	見ろ——
あしたから	着ているような
奥さんが	なったのは、
咎じゃございません」と	逃がれる
　主人は	聞いた
今まで	した
迷亭は	待ってたと
事ばかり	おっしゃって、
頭に	頂いて
帽子を	被れって
四時間以上	寝るのは
おれも	眠たくていかなんだが、
六十七に	なって
糸瓜も	入った
時には、	出るんですがね」
代りくらいに	考えてるかも
せんだって	ありましてね」と
返事を	する
春突然手紙を	寄こして
驚ろいたから、	問い返した
二十三日に	あるから
おかしいのは	あるんです
帽子は	買ってくれ、
それで	間に合ったの
新聞を	見たら、
無事に	行って
縮め賃は	あるのさ」
僕が	頂戴して
男爵で	いらっしゃるんですか」と
時	固まった
仕方が	ありません」と
君は、	云ったようだぜ」
「そうでしたかなアハハハハハ」と	笑う
僕に	ありゃ、
変だと	思った」と
真面目で	付けますねえ
御上手で	いらっしゃる
「あなただって	ありません」
みんな	あって、
猿智慧から	割り出した
妻君は	云う
今まで	向う
構えか	見た
事さえ	始めてである
家で	上った
先刻	図らずも
しかのみならず	堪えん
先方では	探偵しているのに、
鼻を	安置している
事件に関しては	過ぎる
迷亭は	しないが、
可哀相なのは	なる
吾輩でも	奮発して、
